gene,ensembl_id,span_kb,whole_cell_CPM,nuclear_CPM,ratio,exonic_kb,intronic_kb,intron_fraction
Kcmf1,ENSMUSG00000055239,58.952,78.2188,111.2897,1.4228,6.325,52.627,0.8927
Tmc3,ENSMUSG00000038540,58.954,53.1012,147.0401,2.7691,9.027,49.927,0.8469
Tmem26,ENSMUSG00000060044,59.004,3.0961,3.8243,1.2352,5.282,53.722,0.9105
Cds1,ENSMUSG00000029330,59.011,25.6457,37.9678,1.4805,3.939,55.072,0.9332
Trappc10,ENSMUSG00000000374,59.021,52.5195,54.8146,1.0437,8.128,50.893,0.8623
Myo15a,ENSMUSG00000042678,59.03,1.1864,3.4379,2.8979,13.037,45.993,0.7791
Rprd2,ENSMUSG00000028106,59.039,33.1444,71.3557,2.1529,11.403,47.636,0.8069
Dgcr2,ENSMUSG00000003166,59.08,55.7601,19.3141,0.3464,6.853,52.227,0.884
Morn1,ENSMUSG00000029049,59.095,1.3496,15.5005,11.4854,4.32,54.775,0.9269
Mecp2,ENSMUSG00000031393,59.098,50.273,76.8441,1.5285,15.034,44.064,0.7456
Xrra1,ENSMUSG00000035211,59.106,0.2174,1.6032,7.3758,4.398,54.708,0.9256
Cdhr3,ENSMUSG00000035860,59.109,0.2922,0.5645,1.9316,4.569,54.54,0.9227
Dcaf1,ENSMUSG00000040325,59.118,17.6146,39.9784,2.2696,7.786,51.332,0.8683
Nostrin,ENSMUSG00000034738,59.121,0.2517,1.045,4.1519,1.888,57.233,0.9681
Trim66,ENSMUSG00000031026,59.131,11.7632,13.2067,1.1227,10.125,49.006,0.8288
Ptpn2,ENSMUSG00000024539,59.18,8.5191,37.0995,4.3549,3.125,56.055,0.9472
Ocln,ENSMUSG00000021638,59.201,0.433,3.533,8.1598,4.222,54.979,0.9287
Kdm5d,ENSMUSG00000056673,59.217,7.4073,29.4869,3.9808,15.164,44.053,0.7439
Zc3h12c,ENSMUSG00000035164,59.233,5.1867,31.546,6.0821,6.845,52.388,0.8844
Usp30,ENSMUSG00000029592,59.259,14.0617,17.2923,1.2297,6.064,53.195,0.8977
Rpgrip1,ENSMUSG00000057132,59.259,18.2189,27.0175,1.4829,12.152,47.107,0.7949
Rspry1,ENSMUSG00000050079,59.273,45.0816,56.362,1.2502,13.211,46.062,0.7771
Gm27021,ENSMUSG00000097919,59.293,0.1019,2.2269,21.8513,0.758,58.535,0.9872
Ranbp10,ENSMUSG00000037415,59.334,28.9038,53.5993,1.8544,6.313,53.021,0.8936
Peli1,ENSMUSG00000020134,59.339,68.6009,72.0667,1.0505,6.553,52.786,0.8896
Tnxb,ENSMUSG00000033327,59.358,2.2925,11.7031,5.1049,13.488,45.87,0.7728
Zc3h14,ENSMUSG00000021012,59.362,40.2669,49.0388,1.2178,7.891,51.471,0.8671
Bahcc1,ENSMUSG00000039741,59.369,6.6941,15.6018,2.3307,11.1,48.269,0.813
Tnks2,ENSMUSG00000024811,59.374,70.8467,110.2158,1.5557,10.406,48.968,0.8247
Mrc2,ENSMUSG00000020695,59.382,0.2168,14.1419,65.2311,6.674,52.708,0.8876
Akap10,ENSMUSG00000047804,59.385,10.2432,66.9405,6.5351,6.451,52.934,0.8914
Nt5dc3,ENSMUSG00000054027,59.388,110.7376,65.0441,0.5874,6.004,53.384,0.8989
Smc6,ENSMUSG00000020608,59.417,57.0326,59.8961,1.0502,12.502,46.915,0.7896
Pkp2,ENSMUSG00000041957,59.442,1.6921,8.1966,4.844,5.36,54.082,0.9098
Nfic,ENSMUSG00000055053,59.449,270.8071,205.2993,0.7581,6.63,52.819,0.8885
Rims4,ENSMUSG00000035226,59.47,12.3762,19.4722,1.5734,4.962,54.508,0.9166
Dtwd2,ENSMUSG00000024505,59.482,2.6932,9.6467,3.5819,3.52,55.962,0.9408
Cacna1h,ENSMUSG00000024112,59.505,36.885,44.0954,1.1955,10.875,48.63,0.8172
Rtn4ip1,ENSMUSG00000019864,59.507,25.4939,16.6343,0.6525,4.554,54.953,0.9235
Tmem104,ENSMUSG00000045980,59.56,32.8625,17.588,0.5352,4.61,54.95,0.9226
Serbp1,ENSMUSG00000036371,59.56,137.8274,112.1447,0.8137,20.117,39.443,0.6622
Pinx1,ENSMUSG00000021958,59.567,6.3656,23.2215,3.648,1.946,57.621,0.9673
Camk2g,ENSMUSG00000021820,59.599,129.423,154.5025,1.1938,6.401,53.198,0.8926
Etv5,ENSMUSG00000013089,59.61,59.7366,49.954,0.8362,4.103,55.507,0.9312
Baz1b,ENSMUSG00000002748,59.653,31.2985,71.4848,2.284,13.667,45.986,0.7709
Nup160,ENSMUSG00000051329,59.662,4.2102,26.292,6.2448,8.761,50.901,0.8532
Dagla,ENSMUSG00000035735,59.691,9.8633,16.3427,1.6569,5.747,53.944,0.9037
Dennd3,ENSMUSG00000036661,59.708,2.0795,5.0898,2.4477,5.709,53.999,0.9044
Chd8,ENSMUSG00000053754,59.717,30.7371,93.6012,3.0452,16.523,43.194,0.7233
Kcnq2,ENSMUSG00000016346,59.732,55.9697,71.7382,1.2817,16.273,43.459,0.7276
Inpp5b,ENSMUSG00000028894,59.733,11.1171,34.3062,3.0859,4.657,55.076,0.922
Fstl1,ENSMUSG00000022816,59.771,2010.3628,857.5131,0.4265,4.914,54.857,0.9178
Fam168b,ENSMUSG00000037503,59.772,118.6022,101.5027,0.8558,5.219,54.553,0.9127
Arvcf,ENSMUSG00000118669,59.78,47.7423,59.0858,1.2376,6.715,53.065,0.8877
Ppp4r1,ENSMUSG00000061950,59.795,21.4713,58.7632,2.7368,5.449,54.346,0.9089
Emilin2,ENSMUSG00000024053,59.806,0.4923,0.1899,0.3857,5.505,54.301,0.908
Txndc11,ENSMUSG00000022498,59.809,18.1478,68.4935,3.7742,8.835,50.974,0.8523
Stxbp1,ENSMUSG00000026797,59.816,724.4437,291.1422,0.4019,4.997,54.819,0.9165
Rhot1,ENSMUSG00000017686,59.844,52.2476,74.2627,1.4214,7.414,52.43,0.8761
Pkd1l3,ENSMUSG00000048827,59.869,0.1056,9.1133,86.3306,7.061,52.808,0.8821
Il13ra1,ENSMUSG00000017057,59.87,17.3953,10.8105,0.6215,3.712,56.158,0.938
Lars1,ENSMUSG00000024493,59.91,31.999,82.8548,2.5893,5.368,54.542,0.9104
Slc7a2,ENSMUSG00000031596,59.914,23.9647,33.746,1.4082,9.135,50.779,0.8475
Prss12,ENSMUSG00000027978,59.928,5.709,8.0325,1.407,2.602,57.326,0.9566
Scaf4,ENSMUSG00000022983,59.93,10.3913,72.4855,6.9756,5.546,54.384,0.9075
Zfyve1,ENSMUSG00000042628,59.945,9.6932,55.582,5.7341,8.343,51.602,0.8608
Clic4,ENSMUSG00000037242,59.962,34.8132,26.0256,0.7476,6.572,53.39,0.8904
Kpna4,ENSMUSG00000027782,59.964,62.737,127.391,2.0306,8.94,51.024,0.8509
Exog,ENSMUSG00000042787,59.986,15.5174,15.6854,1.0108,6.52,53.466,0.8913
Triobp,ENSMUSG00000033088,60.005,6.8811,6.7847,0.986,12.302,47.703,0.795
Sp100,ENSMUSG00000026222,60.01,3.5374,14.2081,4.0166,7.556,52.454,0.8741
Slc7a8,ENSMUSG00000022180,60.019,58.9315,50.0853,0.8499,5.005,55.014,0.9166
Gpam,ENSMUSG00000024978,60.084,27.4174,41.7726,1.5236,6.664,53.42,0.8891
Fbln2,ENSMUSG00000064080,60.085,18.5831,23.0844,1.2422,6.37,53.715,0.894
Map3k9,ENSMUSG00000042724,60.166,6.7692,39.0095,5.7628,5.902,54.264,0.9019
Inpp1,ENSMUSG00000026102,60.182,28.359,40.9549,1.4442,6.46,53.722,0.8927
Tmem132e,ENSMUSG00000020701,60.193,54.3678,54.8271,1.0084,4.693,55.5,0.922
Taf1b,ENSMUSG00000059669,60.198,6.3254,44.6273,7.0553,2.624,57.574,0.9564
Usp12,ENSMUSG00000029640,60.204,58.9733,84.9045,1.4397,4.639,55.565,0.9229
Rnf169,ENSMUSG00000058761,60.223,11.2501,79.4475,7.0619,7.64,52.583,0.8731
Lnx2,ENSMUSG00000016520,60.242,6.0557,30.8985,5.1024,4.557,55.685,0.9244
Pacs2,ENSMUSG00000021143,60.302,70.4349,96.4116,1.3688,6.985,53.317,0.8842
Abcg1,ENSMUSG00000024030,60.32,55.2933,51.3001,0.9278,7.298,53.022,0.879
Rtf1,ENSMUSG00000027304,60.34,96.4071,96.5061,1.001,5.731,54.609,0.905
Gak,ENSMUSG00000062234,60.344,68.1094,58.3461,0.8567,6.439,53.905,0.8933
Crispld2,ENSMUSG00000031825,60.355,0.8778,3.4168,3.8923,4.777,55.578,0.9209
Kpna1,ENSMUSG00000022905,60.358,110.4533,93.1598,0.8434,8.486,51.872,0.8594
Bicral,ENSMUSG00000036568,60.362,23.5193,140.8405,5.9883,6.851,53.511,0.8865
Tmem243,ENSMUSG00000079659,60.391,26.0314,54.8071,2.1054,6.841,53.55,0.8867
Tpgs2,ENSMUSG00000024269,60.422,87.5697,42.3582,0.4837,6.84,53.582,0.8868
Acot11,ENSMUSG00000034853,60.443,10.7415,20.5669,1.9147,6.056,54.387,0.8998
Ift25,ENSMUSG00000063172,60.455,55.0228,24.219,0.4402,2.071,58.384,0.9657
Dennd6a,ENSMUSG00000040818,60.466,30.0396,124.261,4.1366,8.343,52.123,0.862
Wac,ENSMUSG00000024283,60.483,84.6439,117.7624,1.3913,5.919,54.564,0.9021
Mtmr2,ENSMUSG00000031918,60.498,28.8722,26.1942,0.9072,4.913,55.585,0.9188
Mtrex,ENSMUSG00000016018,60.507,18.4174,45.1665,2.4524,6.404,54.103,0.8942
Adcy7,ENSMUSG00000031659,60.512,8.3136,8.3464,1.0039,6.733,53.779,0.8887
Acer2,ENSMUSG00000038007,60.524,0.8389,1.4359,1.7116,7.159,53.365,0.8817
Foxk1,ENSMUSG00000056493,60.526,21.0375,39.0308,1.8553,7.584,52.942,0.8747
Hebp1,ENSMUSG00000042770,60.529,7.5783,5.4994,0.7257,3.711,56.818,0.9387
Rab18,ENSMUSG00000073639,60.529,183.0177,71.8136,0.3924,6.85,53.679,0.8868
Nid2,ENSMUSG00000021806,60.557,2.7162,6.6566,2.4507,5.174,55.383,0.9146
Lcmt1,ENSMUSG00000030763,60.575,51.4371,37.1247,0.7218,3.244,57.331,0.9464
Tent4b,ENSMUSG00000036779,60.577,20.6148,53.1569,2.5786,5.507,55.07,0.9091
Cystm1,ENSMUSG00000046727,60.577,502.7245,186.0751,0.3701,4.261,56.316,0.9297
4930447C04Rik,ENSMUSG00000021098,60.578,16.5936,147.6778,8.8997,5.891,54.687,0.9028
Shank3,ENSMUSG00000022623,60.638,1.8152,25.9712,14.3076,9.236,51.402,0.8477
Syn1,ENSMUSG00000037217,60.647,372.3572,259.8461,0.6978,3.299,57.348,0.9456
Btd,ENSMUSG00000021900,60.649,8.1093,9.733,1.2002,2.353,58.296,0.9612
Fbxo36,ENSMUSG00000073633,60.653,16.8391,35.818,2.1271,2.148,58.505,0.9646
Klhl7,ENSMUSG00000028986,60.661,39.3516,64.3889,1.6362,3.959,56.702,0.9347
Acsf2,ENSMUSG00000076435,60.685,2.2735,5.5444,2.4387,3.432,57.253,0.9434
Hltf,ENSMUSG00000002428,60.692,14.0396,30.5088,2.1731,5.931,54.761,0.9023
Alkbh3,ENSMUSG00000040174,60.717,15.4996,27.4004,1.7678,3.159,57.558,0.948
Kcnc1,ENSMUSG00000058975,60.718,42.1681,43.7766,1.0381,9.458,51.26,0.8442
Wdr19,ENSMUSG00000037890,60.723,9.5305,17.2158,1.8064,11.278,49.445,0.8143
Pcolce2,ENSMUSG00000015354,60.741,20.6801,23.1469,1.1193,4.625,56.116,0.9239
Srpra,ENSMUSG00000032042,60.763,55.7429,71.4058,1.281,3.364,57.399,0.9446
Eif2ak3,ENSMUSG00000031668,60.774,17.6152,44.5683,2.5301,6.026,54.748,0.9008
Cxadr,ENSMUSG00000022865,60.776,4.4937,11.555,2.5714,7.4,53.376,0.8782
Prdm15,ENSMUSG00000014039,60.781,5.8698,23.0067,3.9195,11.349,49.432,0.8133
Tab3,ENSMUSG00000035476,60.782,15.7849,25.2626,1.6004,6.639,54.143,0.8908
Ap4e1,ENSMUSG00000001998,60.795,4.9514,30.2869,6.1168,9.81,50.985,0.8386
Aass,ENSMUSG00000029695,60.819,0.2876,1.5428,5.364,3.817,57.002,0.9372
Pwp1,ENSMUSG00000001785,60.82,11.2815,12.145,1.0765,2.942,57.878,0.9516
Suco,ENSMUSG00000040297,60.822,45.5588,53.7912,1.1807,8.928,51.894,0.8532
Swt1,ENSMUSG00000052748,60.825,17.8375,54.1693,3.0368,12.865,47.96,0.7885
Ptpn11,ENSMUSG00000043733,60.9,102.3644,95.4297,0.9323,7.492,53.408,0.877
Cib4,ENSMUSG00000053194,60.906,0.8055,2.3875,2.9641,0.769,60.137,0.9874
Ipo8,ENSMUSG00000040029,60.911,60.7436,66.7447,1.0988,15.793,45.118,0.7407
Gprasp1,ENSMUSG00000043384,60.937,133.4538,166.8178,1.25,8.119,52.818,0.8668
Mbd2,ENSMUSG00000024513,60.943,33.1001,76.3354,2.3062,3.214,57.729,0.9473
Onecut2,ENSMUSG00000045991,60.967,46.6472,100.1586,2.1472,16.234,44.733,0.7337
Dpy19l4,ENSMUSG00000045205,60.982,33.7794,46.7381,1.3836,8.101,52.881,0.8672
Ankrd26,ENSMUSG00000007827,60.984,15.6225,32.6435,2.0895,7.253,53.731,0.8811
Psma2,ENSMUSG00000015671,61.017,181.268,81.437,0.4493,3.673,57.344,0.9398
Wdtc1,ENSMUSG00000037622,61.022,85.9016,50.4798,0.5876,4.8,56.222,0.9213
Ctdspl2,ENSMUSG00000033411,61.037,11.7854,45.8278,3.8885,9.251,51.786,0.8484
Crebrf,ENSMUSG00000048249,61.05,85.2955,120.603,1.4139,8.564,52.486,0.8597
Klhl5,ENSMUSG00000054920,61.071,25.2023,56.7338,2.2511,7.057,54.014,0.8844
Cenpe,ENSMUSG00000045328,61.074,0.6597,4.1498,6.2903,8.62,52.454,0.8589
Kcns3,ENSMUSG00000043673,61.099,32.9309,28.1395,0.8545,3.164,57.935,0.9482
Prkar2a,ENSMUSG00000032601,61.128,230.9832,139.3607,0.6033,6.378,54.75,0.8957
Dcaf17,ENSMUSG00000041966,61.134,11.3846,43.9203,3.8579,9.806,51.328,0.8396
D3Ertd751e,ENSMUSG00000025766,61.136,6.0526,13.3939,2.2129,5.813,55.323,0.9049
Smad1,ENSMUSG00000031681,61.145,109.0962,135.013,1.2376,6.262,54.883,0.8976
Asb5,ENSMUSG00000031519,61.151,0.2034,5.2634,25.8816,2.262,58.889,0.963
Arl4a,ENSMUSG00000047446,61.153,58.1341,29.2649,0.5034,7.701,53.452,0.8741
Jade1,ENSMUSG00000025764,61.177,22.0845,17.7741,0.8048,8.492,52.685,0.8612
Ankrd13c,ENSMUSG00000039988,61.209,31.0832,54.8282,1.7639,11.511,49.698,0.8119
Acsl6,ENSMUSG00000020333,61.235,31.7335,52.6605,1.6595,9.914,51.321,0.8381
Jam3,ENSMUSG00000031990,61.263,19.7191,28.1523,1.4277,3.2,58.063,0.9478
Prcp,ENSMUSG00000061119,61.276,21.821,26.4021,1.2099,5.497,55.779,0.9103
Slc2a12,ENSMUSG00000037490,61.31,2.4212,4.6151,1.9062,4.237,57.073,0.9309
Tsc22d3,ENSMUSG00000031431,61.317,148.6379,30.465,0.205,4.341,56.976,0.9292
Zdhhc21,ENSMUSG00000028403,61.347,118.1296,131.1118,1.1099,12.972,48.375,0.7885
Pdzd8,ENSMUSG00000074746,61.384,66.2225,69.0766,1.0431,5.982,55.402,0.9025
Osmr,ENSMUSG00000022146,61.397,13.5934,17.3295,1.2748,12.113,49.284,0.8027
Ankef1,ENSMUSG00000074771,61.421,0.2987,1.6751,5.6073,7.185,54.236,0.883
Crot,ENSMUSG00000003623,61.467,31.093,63.3358,2.037,5.456,56.011,0.9112
Ubxn7,ENSMUSG00000053774,61.539,26.3714,52.4892,1.9904,12.655,48.884,0.7944
Fhl1,ENSMUSG00000023092,61.559,117.6986,87.1239,0.7402,3.714,57.845,0.9397
Stx17,ENSMUSG00000061455,61.599,10.9331,24.4665,2.2378,5.935,55.664,0.9037
Plec,ENSMUSG00000022565,61.6,362.5172,339.1598,0.9356,18.113,43.487,0.706
Sfi1,ENSMUSG00000023764,61.64,8.7598,46.8137,5.3441,7.559,54.081,0.8774
Stk38l,ENSMUSG00000001630,61.645,33.1885,29.5367,0.89,4.88,56.765,0.9208
Zc3h13,ENSMUSG00000022000,61.666,27.9957,68.4633,2.4455,6.283,55.383,0.8981
Sec16b,ENSMUSG00000026589,61.697,0.1588,1.0021,6.3088,5.41,56.287,0.9123
Ubtd2,ENSMUSG00000044949,61.701,3.5248,32.9449,9.3467,1.012,60.689,0.9836
Mbtd1,ENSMUSG00000059474,61.748,17.1878,108.1057,6.2897,13.896,47.852,0.775
Cep164,ENSMUSG00000043987,61.749,36.5917,72.2792,1.9753,9.996,51.753,0.8381
Jph2,ENSMUSG00000017817,61.758,1.3195,2.0193,1.5304,4.255,57.503,0.9311
Lyrm1,ENSMUSG00000030922,61.782,18.9372,33.354,1.7613,7.134,54.648,0.8845
Fgf2,ENSMUSG00000037225,61.784,4.5468,2.5088,0.5518,6.782,55.002,0.8902
Tgfbr1,ENSMUSG00000007613,61.797,15.9119,20.0331,1.259,6.534,55.263,0.8943
Srebf2,ENSMUSG00000022463,61.819,192.775,161.218,0.8363,7.184,54.635,0.8838
Jak2,ENSMUSG00000024789,61.828,14.6272,35.0798,2.3983,5.03,56.798,0.9186
Ptpn21,ENSMUSG00000021009,61.828,8.1344,15.576,1.9148,7.897,53.931,0.8723
B4galt6,ENSMUSG00000056124,61.857,131.1994,90.8577,0.6925,5.808,56.049,0.9061
Lamc3,ENSMUSG00000026840,61.859,0.1182,2.9635,25.0674,6.091,55.768,0.9015
Polk,ENSMUSG00000021668,61.891,16.0632,30.7992,1.9174,5.553,56.338,0.9103
Adap1,ENSMUSG00000056413,61.894,130.2626,113.8522,0.874,3.292,58.602,0.9468
Bin1,ENSMUSG00000024381,61.926,153.9827,119.0248,0.773,4.162,57.764,0.9328
Tsbp1,ENSMUSG00000057246,61.931,1.7252,6.5165,3.7773,4.073,57.858,0.9342
Kif18a,ENSMUSG00000027115,61.94,0.9499,2.2051,2.3216,9.832,52.108,0.8413
Ythdc2,ENSMUSG00000034653,61.978,16.6437,41.7546,2.5087,8.878,53.1,0.8568
D130043K22Rik,ENSMUSG00000006711,61.978,37.723,146.5393,3.8846,5.276,56.702,0.9149
Ctdp1,ENSMUSG00000033323,61.982,8.5518,17.4538,2.0409,3.91,58.072,0.9369
Ube2k,ENSMUSG00000029203,61.983,123.5494,161.0516,1.3035,7.892,54.091,0.8727
Chmp4c,ENSMUSG00000027536,61.986,0.1872,2.5025,13.3709,10.087,51.899,0.8373
Ibtk,ENSMUSG00000035941,62.006,15.9269,27.8993,1.7517,8.628,53.378,0.8609
Lmbrd2,ENSMUSG00000039704,62.007,130.1927,69.1061,0.5308,8.588,53.419,0.8615
Kdm3b,ENSMUSG00000038773,62.028,6.9142,46.0916,6.6662,14.095,47.933,0.7728
Cep152,ENSMUSG00000068394,62.083,2.3,10.5031,4.5665,5.768,56.315,0.9071
Brd3,ENSMUSG00000026918,62.087,32.6358,45.2116,1.3853,7.336,54.751,0.8818
Gask1b,ENSMUSG00000027955,62.137,5.2457,5.7828,1.1024,9.598,52.539,0.8455
Agfg1,ENSMUSG00000026159,62.163,123.2042,154.4296,1.2534,8.384,53.779,0.8651
Fkbp15,ENSMUSG00000066151,62.213,32.4257,52.2898,1.6126,9.466,52.747,0.8478
Swap70,ENSMUSG00000031015,62.227,5.529,9.9686,1.803,8.09,54.137,0.87
Slc4a8,ENSMUSG00000023032,62.228,36.5799,43.1517,1.1797,13.021,49.207,0.7908
Qser1,ENSMUSG00000074994,62.233,10.8653,42.9085,3.9491,9.191,53.042,0.8523
Trmt9b,ENSMUSG00000039620,62.286,8.7157,19.075,2.1886,6.387,55.899,0.8975
Mfn1,ENSMUSG00000027668,62.289,28.4146,79.146,2.7854,6.114,56.175,0.9018
Snx14,ENSMUSG00000032422,62.309,15.2977,39.1251,2.5576,6.11,56.199,0.9019
Zfp961,ENSMUSG00000052446,62.329,3.9814,22.083,5.5465,4.334,57.995,0.9305
Dusp10,ENSMUSG00000039384,62.343,8.3022,10.74,1.2936,3.042,59.301,0.9512
Cd86,ENSMUSG00000022901,62.399,0.1925,2.5907,13.4577,3.661,58.738,0.9413
Sycp2,ENSMUSG00000060445,62.402,0.1396,29.9712,214.731,5.967,56.435,0.9044
Tpst1,ENSMUSG00000034118,62.407,26.0389,37.5266,1.4412,2.789,59.618,0.9553
Fyco1,ENSMUSG00000025241,62.412,7.3009,16.8975,2.3144,8.862,53.55,0.858
Psg16,ENSMUSG00000066760,62.421,0.6405,3.5976,5.6167,5.488,56.933,0.9121
Apool,ENSMUSG00000025525,62.425,4.775,13.9281,2.9169,3.486,58.939,0.9442
Lnpk,ENSMUSG00000009207,62.43,56.2511,84.9209,1.5097,9.154,53.276,0.8534
Uck2,ENSMUSG00000026558,62.437,19.4297,43.2617,2.2266,5.464,56.973,0.9125
Irak3,ENSMUSG00000020227,62.467,1.5055,5.0967,3.3854,3.676,58.791,0.9412
Rai2,ENSMUSG00000043518,62.47,5.9301,13.9929,2.3596,2.403,60.067,0.9615
Itgb3,ENSMUSG00000020689,62.476,3.4139,5.9141,1.7324,5.901,56.575,0.9055
Mro,ENSMUSG00000064036,62.478,0.3496,2.7269,7.8001,4.431,58.047,0.9291
Cacng4,ENSMUSG00000020723,62.479,7.3457,13.2631,1.8056,3.575,58.904,0.9428
Bend4,ENSMUSG00000092060,62.515,11.575,22.3476,1.9307,9.886,52.629,0.8419
Gnas,ENSMUSG00000027523,62.515,2650.8505,1890.9821,0.7133,11.387,51.128,0.8179
Mrpl48,ENSMUSG00000030706,62.569,94.5182,56.1629,0.5942,8.152,54.417,0.8697
Blmh,ENSMUSG00000020840,62.573,63.5965,45.9044,0.7218,5.891,56.682,0.9059
Map3k1,ENSMUSG00000021754,62.59,25.9773,48.0328,1.849,7.447,55.143,0.881
Rab10,ENSMUSG00000020671,62.601,230.2903,184.7462,0.8022,3.513,59.088,0.9439
Ube2e3,ENSMUSG00000027011,62.623,75.2082,36.1952,0.4813,4.39,58.233,0.9299
Elp3,ENSMUSG00000022031,62.652,38.3279,32.4324,0.8462,3.002,59.65,0.9521
Fam222b,ENSMUSG00000037750,62.683,30.5906,91.6749,2.9968,3.49,59.193,0.9443
Tbc1d23,ENSMUSG00000022749,62.692,27.4072,68.7853,2.5098,9.802,52.89,0.8436
Ttc8,ENSMUSG00000021013,62.702,15.6532,63.3463,4.0469,3.782,58.92,0.9397
Camk2a,ENSMUSG00000024617,62.751,164.118,336.9337,2.053,7.465,55.286,0.881
Araf,ENSMUSG00000001127,62.76,156.5304,104.5109,0.6677,6.541,56.219,0.8958
Igfbp7,ENSMUSG00000036256,62.801,13.4607,18.4234,1.3687,1.209,61.592,0.9807
Lrrn2,ENSMUSG00000026443,62.802,30.3406,31.8245,1.0489,3.595,59.207,0.9428
Kank4,ENSMUSG00000035407,62.808,11.2784,28.6534,2.5405,4.795,58.013,0.9237
Arhgef17,ENSMUSG00000032875,62.821,69.7011,45.0494,0.6463,10.795,52.026,0.8282
Trpm2,ENSMUSG00000009292,62.849,11.4255,11.2691,0.9863,12.459,50.39,0.8018
Egfl6,ENSMUSG00000000402,62.869,0.5933,1.8077,3.0469,2.704,60.165,0.957
Ngly1,ENSMUSG00000021785,62.876,22.8518,49.8834,2.1829,7.555,55.321,0.8798
Saysd1,ENSMUSG00000045107,62.898,19.6951,17.7768,0.9026,2.511,60.387,0.9601
Sirt1,ENSMUSG00000020063,62.902,12.3393,17.245,1.3976,5.331,57.571,0.9152
Sacm1l,ENSMUSG00000025240,62.915,94.6686,114.6186,1.2107,3.738,59.177,0.9406
Dhx32,ENSMUSG00000030986,62.922,18.4938,50.0156,2.7044,4.172,58.75,0.9337
Rftn2,ENSMUSG00000025978,62.945,2.4187,8.6226,3.565,5.871,57.074,0.9067
Clstn1,ENSMUSG00000039953,62.954,333.3841,228.3039,0.6848,4.662,58.292,0.9259
Tmod3,ENSMUSG00000058587,62.956,21.3901,73.4294,3.4329,11.151,51.805,0.8229
Rasgrp1,ENSMUSG00000027347,63.019,92.5229,111.1101,1.2009,5.598,57.421,0.9112
Pik3c2b,ENSMUSG00000026447,63.02,1.9275,10.4529,5.4231,9.592,53.428,0.8478
Gpr137c,ENSMUSG00000049092,63.028,20.3689,74.0909,3.6374,8.776,54.252,0.8608
Clip2,ENSMUSG00000063146,63.061,78.8623,84.4794,1.0712,5.187,57.874,0.9177
Casq2,ENSMUSG00000027861,63.073,0.1884,1.0639,5.6471,2.736,60.337,0.9566
Redic1,ENSMUSG00000078932,63.075,0.251,0.3027,1.2061,2.043,61.032,0.9676
Pak2,ENSMUSG00000022781,63.081,53.8969,87.0226,1.6146,6.795,56.286,0.8923
Gbp9,ENSMUSG00000029298,63.12,0.2093,0.2133,1.0192,5.173,57.947,0.918
Fgfr1,ENSMUSG00000031565,63.154,95.2241,89.6515,0.9415,9.836,53.318,0.8443
Arnt,ENSMUSG00000015522,63.186,13.081,76.6213,5.8575,7.995,55.191,0.8735
Mylk3,ENSMUSG00000031698,63.191,0.162,1.651,10.1928,4.283,58.908,0.9322
Terb1,ENSMUSG00000052616,63.194,0.5835,6.8928,11.8132,3.749,59.445,0.9407
Mlxip,ENSMUSG00000038342,63.201,15.6999,43.9845,2.8016,8.326,54.875,0.8683
Brca1,ENSMUSG00000017146,63.204,1.3546,7.054,5.2073,8.533,54.671,0.865
Rcsd1,ENSMUSG00000040723,63.241,4.7596,7.512,1.5783,10.131,53.11,0.8398
Svopl,ENSMUSG00000029830,63.257,0.35,3.349,9.5688,5.814,57.443,0.9081
Aldh7a1,ENSMUSG00000053644,63.264,23.4145,31.3861,1.3405,5.181,58.083,0.9181
Slc39a8,ENSMUSG00000053897,63.293,0.3007,0.5902,1.9625,7.664,55.629,0.8789
Mbtps2,ENSMUSG00000046873,63.344,18.6985,31.8308,1.7023,10.105,53.239,0.8405
Naa15,ENSMUSG00000063273,63.356,62.6354,89.817,1.434,15.427,47.929,0.7565
Ctnnd1,ENSMUSG00000034101,63.367,60.7979,25.0707,0.4124,7.319,56.048,0.8845
Rsbn1l,ENSMUSG00000039968,63.374,40.4957,82.9709,2.0489,12.676,50.698,0.8
Fam185a,ENSMUSG00000047221,63.398,8.5476,13.0078,1.5218,3.894,59.504,0.9386
Cilk1,ENSMUSG00000009828,63.402,19.6545,38.4488,1.9562,11.524,51.878,0.8182
Fip1l1,ENSMUSG00000029227,63.403,53.8328,90.348,1.6783,13.122,50.281,0.793
Grik5,ENSMUSG00000003378,63.439,62.9941,92.0218,1.4608,5.168,58.271,0.9185
Ccdc50,ENSMUSG00000038127,63.462,38.5901,61.223,1.5865,9.164,54.298,0.8556
Mroh2b,ENSMUSG00000022155,63.468,0.9908,1.4168,1.4299,5.915,57.553,0.9068
Ica1l,ENSMUSG00000026018,63.479,38.9505,34.3912,0.8829,5.356,58.123,0.9156
Trappc12,ENSMUSG00000020628,63.499,29.7569,43.2647,1.4539,10.02,53.479,0.8422
Rxfp2,ENSMUSG00000053368,63.509,0.104,0.6476,6.2268,5.69,57.819,0.9104
Tspan14,ENSMUSG00000037824,63.511,19.6874,40.168,2.0403,2.65,60.861,0.9583
Enpep,ENSMUSG00000028024,63.545,0.3031,1.6312,5.3816,4.706,58.839,0.9259
Smim36,ENSMUSG00000110344,63.572,16.5121,1.9703,0.1193,2.187,61.385,0.9656
