gse,group,verdict,reason,unit,n_samples,n_columns,Oprl1,Oprm1,Oprd1,Oprk1,top_receptor,runner_up,margin,Snap25,Tubb3,Plp1,Sox10,Ptprc,Snap25_over_Plp1,Atf3,Fos,Jun,title,file
GSE102123,,no matrix,no flat matrix; per-sample RAW archive only,,10,,,,,,,,,,,,,,,,,,Expression of receptors for inflammatory mediators in murine vagal nodose versus jugular capsaicin-sensitive  (Trpv1-positive) C-fiber neurons,
GSE93394,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Quantitative Analysis of Wild Type and Tlx3f/f;SNS-cre dorsal root ganglion Transcriptomes by RNAseq,
GSE99839,,no matrix,no flat matrix; per-sample RAW archive only,,30,,,,,,,,,,,,,,,,,,Inhibitors of the histone methyltransferases EZH2/1 induce a potent antiviral state and suppress infection by diverse viral pathogens [RNA-Seq],
GSE59547,,unusable layout,"no gene column, or fewer than 3 sample columns",,6,,,,,,,,,,,,,,,,,,RNA-Seq of regenerating DRG neurons,GSE59547_Table_S3_Isoform_Quantification.txt.gz
GSE86418,,no matrix,no flat matrix; per-sample RAW archive only,,49,,,,,,,,,,,,,,,,,,Transcriptomic profiling of dorsal root ganglia of transgenic sickle and control mouse models for studying genetic signatures of pain in sickle cell disease,
GSE89627,,no samples,no column group had a positive library size,,24,,,,,,,,,,,,,,,,,,Testing the Ret and Sema3d genetic interaction in mouse enteric nervous system development,GSE89627_DESeq_retnull_combined_GLM_results.txt.gz
GSE86019,,unreadable,HTTPError,,6,,,,,,,,,,,,,,,,,,Dicer maintains the identity and function of proprioceptive sensory neurons,GSE86019_pvalb_dicer_KO_TPM_values.csv.gz
GSE74215,,no matrix,no flat matrix; per-sample RAW archive only,,8,,,,,,,,,,,,,,,,,,Transcriptome analysis of HSV-1 infected dorsal root ganglia and large intestinal musculara,
GSE75691,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,Transcriptomic and behavioural characterisation of a mouse model of burns pain,
GSE67130,C57Ax5d,hold,Snap25 21.384 below 100 CPM,length-normalised,24,4.0,0.825,0.085,0.985,0.122,Oprd1,Oprl1,1.194,21.384,2041.932,60.591,60.102,0.245,0.3529,102.605,5.435,278.078,Robust axonal regeneration occurs in the injured CAST/Ei mouse central nervous system,GSE67130_processedData_FPKM_matrix.csv.gz
GSE67130,C57Naive,hold,Snap25 40.765 below 100 CPM,length-normalised,24,4.0,2.062,0.158,2.711,0.304,Oprd1,Oprl1,1.315,40.765,1314.925,55.978,53.454,0.08,0.7282,1.751,3.133,116.105,Robust axonal regeneration occurs in the injured CAST/Ei mouse central nervous system,GSE67130_processedData_FPKM_matrix.csv.gz
GSE67130,CASTAx5d,hold,Snap25 16.034 below 100 CPM,length-normalised,24,4.0,0.847,0.043,1.201,0.053,Oprd1,Oprl1,1.418,16.034,1938.314,73.607,59.084,0.304,0.2178,98.434,7.192,301.556,Robust axonal regeneration occurs in the injured CAST/Ei mouse central nervous system,GSE67130_processedData_FPKM_matrix.csv.gz
GSE67130,CASTNaive,hold,Snap25 34.505 below 100 CPM,length-normalised,24,4.0,2.727,0.073,3.585,0.203,Oprd1,Oprl1,1.315,34.505,1205.037,66.574,55.479,0.055,0.5183,2.245,3.439,118.08,Robust axonal regeneration occurs in the injured CAST/Ei mouse central nervous system,GSE67130_processedData_FPKM_matrix.csv.gz
GSE67130,DBAAx5d,hold,Snap25 18.591 below 100 CPM,length-normalised,24,4.0,1.065,0.043,0.682,0.07,Oprl1,Oprd1,1.562,18.591,2014.701,77.898,75.511,0.273,0.2387,96.695,20.309,340.014,Robust axonal regeneration occurs in the injured CAST/Ei mouse central nervous system,GSE67130_processedData_FPKM_matrix.csv.gz
GSE67130,DBANaive,hold,Snap25 39.937 below 100 CPM,length-normalised,24,4.0,3.527,0.085,2.283,0.44,Oprl1,Oprd1,1.545,39.937,1137.25,58.413,58.641,0.077,0.6837,1.708,4.817,91.526,Robust axonal regeneration occurs in the injured CAST/Ei mouse central nervous system,GSE67130_processedData_FPKM_matrix.csv.gz
GSE69374,all,hold,"counts, so an ordering would compare transcript lengths",counts,25,25.0,34.913,5.599,9.451,4.47,Oprl1,Oprd1,3.694,1331.953,3719.507,520.727,61.683,10.311,2.5579,9.37,7.064,71.289,Transcriptional profiling of BXD dorsal root ganglia,GSE69374_bxd_drg_normalized_counts.txt.gz
GSE63143,,no matrix,no flat matrix; per-sample RAW archive only,,6,,,,,,,,,,,,,,,,,,RNA-SEQ analysis of E14.5 pooled dorsal root ganglia control samples,
GSE47480,,unusable layout,"no gene column, or fewer than 3 sample columns",,12,,,,,,,,,,,,,,,,,,The star-nosed mole reveals clues to the molecular basis of mammalian touch.,GSE47480_TG_Cc.txt.gz
